t,year_month,B_mean,B_p05,B_p95
1,2020-10,-0.0376044856548,-0.32924115,0.23120929999999998
2,2020-11,-0.0418549317863375,-0.54334595,0.4774172499999999
3,2020-12,0.03558750427500375,-0.4391292,0.5089322999999994
4,2021-01,-0.056374448169637506,-0.6152371999999999,0.5098234500000001
5,2021-02,0.0476823247549,-0.52129425,0.5959262999999986
6,2021-03,0.006873639793237502,-0.41166915,0.41698249999999937
7,2021-04,0.011108109715176713,-0.35641814999999993,0.3685195499999998
8,2021-05,0.09890646882936249,-0.8267173,1.0134554999999994
9,2021-06,-0.0788378748335675,-0.80239425,0.64744905
10,2021-07,0.0778332185952125,-0.6463061,0.785012549999999
11,2021-08,-0.11450811580012502,-1.1110434999999999,0.9169638999999995
12,2021-09,-0.0891980469984375,-1.0752239999999997,0.8973632999999988
13,2021-10,-0.0038709992367125007,-0.5112492,0.48113729999999955
14,2021-11,0.05148021192425,-0.28836245,0.36913259999999987
15,2021-12,-0.00202356032606625,-0.3487143,0.32735925
16,2022-01,-0.057810866731969994,-0.69887225,0.5869584499999991
17,2022-02,0.052584769939762493,-0.49675245,0.6100813999999997
18,2022-03,0.002342045698425,-0.36116279999999995,0.38314964999999973
19,2022-04,-0.026187787323025,-0.44177700000000003,0.4018184
20,2022-05,0.0358458162814875,-0.40395745,0.4802580499999996
21,2022-06,-0.028983132981525002,-0.4465264,0.3901398999999995
22,2022-07,-0.009200099994555002,-0.37011815,0.3689137999999999
23,2022-08,0.124204337934,-0.9797410499999999,1.241474
24,2022-09,-0.006621220122237501,-0.51142935,0.4891173999999999
25,2022-10,-0.0099773878878625,-0.3634484,0.3540392999999999
26,2022-11,-0.01129465824754,-0.25762665,0.23098499999999988
27,2022-12,-0.17763259774812498,-1.783177,1.4123309999999998
28,2023-01,0.15524275651669248,-1.139375,1.4324274999999984
29,2023-02,-0.1036279347195,-1.03619,0.8165784999999991
30,2023-03,0.036004478622550004,-0.49452855,0.5562186999999996
31,2023-04,-0.072343069887875,-0.7926470999999999,0.6477782999999999
32,2023-05,0.096060491470725,-0.7832039,0.9420917499999998
33,2023-06,-0.0261360182567525,-0.5113253,0.4425685499999998
34,2023-07,0.0193868345371425,-0.37059745,0.4066150999999997
35,2023-08,0.0196281727096625,-0.3869009,0.40797254999999905
36,2023-09,0.0641122081223625,-0.6189497500000001,0.7286216499999986
