scenario_id,action,observed_mean,predicted_eu_mean,residual
T1_ceo_resign_nothing,no_strike,1.0,-1.937,2.937
T1_ceo_resign_nothing,rec_strike,5.0,5.24,-0.24
T1_ceo_resign_review,no_strike,3.84,0.909,2.931
T1_ceo_resign_review,rec_strike,3.1,1.071,2.029
T1_ceo_stay_nothing,no_strike,1.0,-2.541,3.541
T1_ceo_stay_nothing,rec_strike,5.0,5.432,-0.432
T1_ceo_stay_review,no_strike,3.32,0.304,3.016
T1_ceo_stay_review,rec_strike,3.76,1.263,2.497
T1_ceo_stay_sacked,no_strike,2.38,0.605,1.775
T1_ceo_stay_sacked,rec_strike,4.08,0.742,3.338
T2_delay_001,no_strike,2.12,0.909,1.211
T2_delay_001,rec_strike,4.16,1.071,3.089
T2_delay_002,no_strike,1.88,0.304,1.576
T2_delay_002,rec_strike,4.7,1.263,3.437
T2_delay_003,no_strike,1.84,0.605,1.235
T2_delay_003,rec_strike,4.42,0.742,3.678
T2_delay_low_profile_004,no_strike,2.42,0.304,2.116
T2_delay_low_profile_004,rec_strike,4.02,0.166,3.854
T2_delay_low_profile_005,no_strike,2.14,0.605,1.535
T2_delay_low_profile_005,rec_strike,4.0,-0.355,4.355
T2_low_profile_007,no_strike,1.06,-2.541,3.601
T2_low_profile_007,rec_strike,5.0,4.335,0.665
T2_low_profile_008,no_strike,1.56,-1.937,3.497
T2_low_profile_008,rec_strike,4.94,4.143,0.797
T2_low_profile_009,no_strike,3.88,0.304,3.576
T2_low_profile_009,rec_strike,2.7,0.166,2.534
T2_low_profile_010,no_strike,3.7,0.605,3.095
T2_low_profile_010,rec_strike,2.88,-0.355,3.235
T2_low_profile_011,no_strike,3.98,0.909,3.071
T2_low_profile_011,rec_strike,2.46,-0.026,2.486
T2_low_profile_012,no_strike,4.92,0.909,4.011
T2_low_profile_012,rec_strike,1.76,-0.05,1.81
T2_combined_013,no_strike,4.54,0.909,3.631
T2_combined_013,rec_strike,2.0,1.046,0.954
T2_combined_014,no_strike,2.56,0.909,1.651
T2_combined_014,rec_strike,4.0,1.046,2.954
T3_framing_001,no_strike,1.36,-1.937,3.297
T3_framing_001,rec_strike,5.0,5.24,-0.24
T3_framing_002,no_strike,1.84,0.605,1.235
T3_framing_002,rec_strike,4.9,0.742,4.158
T3_framing_003,no_strike,1.56,-1.937,3.497
T3_framing_003,rec_strike,5.0,5.24,-0.24
T3_framing_004,no_strike,1.74,-1.937,3.677
T3_framing_004,rec_strike,5.0,5.24,-0.24
T3_sequence_005,no_strike,4.52,0.909,3.611
T3_sequence_005,rec_strike,1.64,1.071,0.569
T3_sequence_006,no_strike,4.36,0.909,3.451
T3_sequence_006,rec_strike,1.92,1.071,0.849
T3_sequence_007,no_strike,3.14,0.909,2.231
T3_sequence_007,rec_strike,3.4,1.071,2.329
T3_sequence_008,no_strike,3.5,0.304,3.196
T3_sequence_008,rec_strike,3.16,1.263,1.897
